n,asset,isin,tickers_tried,yahoo_ticker,status,source,latest_date,latest_close,all_time_high_date,all_time_high,drawdown_from_high_pct,all_time_close_high_date,all_time_close_high,drawdown_from_close_high_pct,rows_used,error,generated_at_utc
33,DAX / Germania,DE0005933931,EXS1.DE,EXS1.DE,ok,yfinance.download,2026-06-18,206.300003,2026-01-13,211.25,-2.3432,2026-01-13,210.449997,-1.972,4686,,2026-06-18T20:54:30+00:00
34,FTSE MIB / Italia,da verificare,CSMIB.MI,CSMIB.MI,ok,yfinance.download,2026-06-18,261.850006,2026-06-18,262.200012,-0.1335,2026-06-18,261.850006,0.0,4059,,2026-06-18T20:54:31+00:00
35,IBEX 35 / Spagna,proxy US / da verificare,EWP,EWP,ok,yfinance.download,2026-06-18,59.009998,2007-11-14,71.849998,-17.8706,2007-12-10,68.68,-14.0798,7613,,2026-06-18T20:54:31+00:00
36,SMI / Svizzera,da verificare,CSSMI.SW,CSSMI.SW,ok,yfinance.download,2026-06-18,143.399994,2026-02-24,145.660004,-1.5516,2026-02-27,145.080002,-1.158,4639,,2026-06-18T20:54:31+00:00
37,Nordic Countries,da verificare,XDN0.DE,XDN0.DE,ok,yfinance.download,2026-06-18,53.09,2024-06-12,58.299999,-8.9365,2024-06-12,57.959999,-8.4023,3243,,2026-06-18T20:54:32+00:00
38,MSCI Japan,da verificare,"SJPA.L, IJPA.L",SJPA.L,ok,yfinance.download,2026-06-18,6228.0,2025-10-24,6767.080078,-7.9662,2025-10-24,6767.080078,-7.9662,4224,,2026-06-18T20:54:32+00:00
39,TOPIX,da verificare,"TPXU.L, XTPX.DE",TPXU.L,ok,yfinance.download,2026-06-18,170.695007,2025-10-24,21747.0,-99.2151,2025-10-24,21747.0,-99.2151,2708,,2026-06-18T20:54:32+00:00
40,Pacific ex Japan,da verificare,CPXJ.L,CPXJ.L,ok,yfinance.download,2026-06-18,237.399994,2020-04-28,289.799988,-18.0814,2026-02-27,246.25,-3.5939,3965,,2026-06-18T20:54:32+00:00
41,MSCI Emerging Markets,IE00BKM4GZ66,"EIMI.L, IS3N.DE",EIMI.L,ok,yfinance.download,2026-06-18,57.639999,2026-02-19,60.549999,-4.8059,2026-06-18,57.639999,0.0,3046,,2026-06-18T20:54:33+00:00
42,Emerging Markets ex China,da verificare,EMXC.L,EMXC.L,ok,yfinance.download,2026-06-18,50.830002,2026-06-18,50.939999,-0.2159,2026-06-18,50.830002,0.0,1767,,2026-06-18T20:54:33+00:00
43,MSCI India,da verificare,"NDIA.L, FLXI.MI",NDIA.L,ok,yfinance.download,2026-06-18,8.875,2024-09-27,10.742,-17.3804,2024-09-27,10.72,-17.2108,2036,,2026-06-18T20:54:33+00:00
44,MSCI China,da verificare,ICHN.L,,failed,,,,,,,,,,0,"{""ICHN.L/rows_from_yfinance"": ""empty yfinance result"", ""ICHN.L/rows_from_yahoo_chart"": ""query1.finance.yahoo.com HTTP 404: {\""chart\"":{\""result\"":null,\""error\"":{\""code\"":\""Not Found\"",\""description\"":\""No data found, symbol may be delisted\""}}}; query2.finance.yahoo.com HTTP 404: {\""chart\"":{\""result\"":null,\""error\"":{\""code\"":\""Not Found\"",\""description\"":\""No data found, symbol may be delisted\""}}}""}",2026-06-18T20:54:39+00:00
45,MSCI Taiwan,da verificare,ITWN.L,ITWN.L,ok,yfinance.download,2026-06-18,15531.0,2026-06-18,15623.275391,-0.5906,2026-06-18,15531.0,0.0,4408,,2026-06-18T20:54:40+00:00
46,MSCI Korea,da verificare,IKOR.L,IKOR.L,ok,yfinance.download,2026-06-18,11883.0,2026-06-18,11932.0,-0.4107,2026-06-18,11883.0,0.0,4404,,2026-06-18T20:54:40+00:00
47,MSCI Brazil,da verificare,IBZL.L,IBZL.L,ok,yfinance.download,2026-06-18,2071.25,2011-01-06,4117.5,-49.6964,2011-01-05,4089.25,-49.3489,4408,,2026-06-18T20:54:40+00:00
48,MSCI World Health Care,da verificare,"WHEA.L, XDWH.DE",WHEA.L,ok,yfinance.download,2026-06-18,64.629997,2026-02-19,70.150002,-7.8689,2026-02-16,69.949997,-7.6054,4293,,2026-06-18T20:54:41+00:00
49,World Energy / Oil & Gas,da verificare,"WENS.L, EXH1.DE",WENS.L,ok,yfinance.download,2026-06-18,6.489,2026-03-30,7.78,-16.5938,2026-03-30,7.731,-16.0652,999,,2026-06-18T20:54:41+00:00
50,Oro fisico ETC,da verificare,"SGLN.L, 4GLD.DE",SGLN.L,ok,yfinance.download,2026-06-18,6203.0,2026-03-02,7810.0,-20.5762,2026-03-02,7690.0,-19.3368,3836,,2026-06-18T20:54:41+00:00
